State,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - High,OC - Medium,OC - Low,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
ANDAMAN & NICOBAR,0%,17.23%,82.77%,0.10%,9.20%,90.70%,0.01%,15.60%,84.39%,0.42%,9.20%,90.38%,11.00%,89.00%,14.41%,85.57%,0.02%
ANDHRA PRADESH,1.85%,24.11%,74.04%,50.84%,34.30%,14.86%,57.93%,31.17%,10.91%,16.75%,24.40%,58.85%,4.74%,95.26%,0.83%,93.00%,6.17%
ARUNACHAL PRADESH,14.27%,73.51%,12.22%,22.15%,66.21%,11.64%,14.90%,64.34%,20.75%,36.03%,46.22%,17.75%,3.03%,96.97%,52.04%,47.82%,0.14%
ASSAM,40.69%,57.29%,2.02%,61.27%,26.02%,12.72%,7.66%,48.71%,43.64%,48.97%,17.03%,34.00%,0.11%,99.89%,36.90%,63.10%,0.00%
BIHAR,0.91%,36.14%,62.95%,75.63%,20.30%,4.07%,20.70%,72.95%,6.34%,13.44%,52.98%,33.59%,1.08%,98.92%,3.50%,95.41%,1.09%
CHHATTISGARH,0.18%,23.06%,76.76%,8.80%,67.58%,23.62%,45.31%,50.56%,4.13%,11.76%,36.46%,51.78%,0.41%,99.59%,11.89%,87.85%,0.26%
DELHI,6.06%,6.06%,87.88%,38.71%,12.90%,48.39%,30%,13.33%,56.67%,73.53%,17.65%,8.82%,55.88%,44.12%,43.24%,37.84%,18.92%
GOA,19.39%,55.92%,24.70%,23.37%,20.06%,56.56%,26.76%,37.51%,35.72%,79.11%,4.28%,16.61%,5.83%,94.17%,68.17%,31.80%,0.03%
GUJARAT,0.14%,18.04%,81.82%,66.52%,24.66%,8.82%,57.99%,36.15%,5.87%,28.26%,36.38%,35.36%,15.32%,84.68%,0.37%,97.81%,1.82%
HARYANA,0%,0%,0%,56.06%,34.17%,9.77%,30.02%,43.44%,26.54%,5.03%,18.53%,76.44%,8.79%,91.21%,0.03%,96.40%,3.56%
HIMACHAL PRADESH,1.26%,43.90%,54.85%,28.28%,58.92%,12.80%,40.48%,48.57%,10.94%,73.04%,19.29%,7.67%,0.54%,99.46%,0.97%,98.95%,0.08%
JAMMU & KASHMIR,16.68%,59.46%,23.86%,50.12%,46.68%,3.20%,23.38%,69.97%,6.65%,59.14%,26.20%,14.67%,4.74%,95.26%,2.34%,96.56%,1.09%
JHARKHAND,0.55%,55.49%,43.96%,25.08%,64.50%,10.42%,8.23%,79.16%,12.61%,16.05%,49.65%,34.30%,0.61%,99.39%,38.42%,61.35%,0.23%
KARNATAKA,5.07%,33.38%,61.55%,57.46%,35.13%,7.40%,40.27%,46.71%,13.02%,22.42%,32.71%,44.88%,8.53%,91.47%,6.22%,90.69%,3.09%
KERALA,0.04%,0.99%,98.97%,73.50%,16.70%,9.80%,28.75%,42.13%,29.12%,64.09%,18.46%,17.45%,0.92%,99.08%,32.99%,66.92%,0.10%
LADAKH,0%,0%,0%,34.78%,34.78%,30.43%,60.87%,21.74%,17.39%,55.07%,24.64%,20.29%,5.07%,94.93%,0%,94.93%,5.07%
MADHYA PRADESH,0.52%,30.66%,68.82%,25.99%,64.35%,9.67%,39.32%,56.98%,3.70%,28.94%,39.55%,31.52%,6.58%,93.42%,1.44%,97.89%,0.67%
MAHARASHTRA,0.88%,11.14%,87.98%,22.64%,53.86%,23.51%,67.34%,28.72%,3.94%,17.27%,25.49%,57.25%,0.68%,99.32%,2.32%,95.48%,2.20%
MANIPUR,0%,7.44%,92.56%,6.46%,89.54%,4%,0.30%,6.53%,93.18%,1.50%,89.82%,8.68%,67.77%,32.23%,27.27%,57.34%,15.38%
MEGHALAYA,1.27%,49.23%,49.50%,16.72%,36.62%,46.66%,17.77%,63.40%,18.83%,81.77%,14.35%,3.88%,0.04%,99.96%,49.40%,50.57%,0.03%
MIZORAM,0.20%,14.20%,85.60%,9.83%,74.11%,16.06%,14.92%,31.96%,53.12%,84.71%,8.44%,6.85%,71.34%,28.66%,50.84%,49.14%,0.02%
NAGALAND,13.70%,56.01%,30.29%,26.43%,41.67%,31.89%,20.03%,54.75%,25.21%,63.83%,21.13%,15.04%,2.00%,98.00%,74.84%,25.12%,0.05%
ODISHA,2.28%,28.59%,69.12%,30.16%,44.24%,25.60%,21.35%,61.43%,17.22%,15.44%,35.09%,49.47%,0.81%,99.19%,29.81%,70.08%,0.10%
PUDUCHERRY,0%,0%,100%,65.93%,29.10%,4.97%,28.70%,45.57%,25.73%,49.70%,32%,18.30%,12.94%,87.06%,2.13%,94.20%,3.67%
PUNJAB,0%,2.56%,97.44%,39.88%,30.20%,29.92%,16.86%,22.18%,60.96%,15.93%,45.05%,39.02%,9.14%,90.86%,1.78%,89.61%,8.62%
RAJASTHAN,0.29%,0.63%,99.08%,69.03%,27.09%,3.89%,51.61%,45.47%,2.91%,3.29%,13.61%,83.10%,6.56%,93.44%,0.03%,87.88%,12.09%
SIKKIM,3.47%,64.58%,31.94%,72.58%,25.61%,1.82%,30.42%,61.97%,7.61%,59.61%,25.62%,14.77%,1.79%,98.21%,45.80%,54.10%,0.10%
TAMIL NADU,0.05%,0.54%,99.42%,35.82%,43.08%,21.10%,45.61%,43.21%,11.17%,2.66%,9.59%,87.75%,2.06%,97.94%,2.32%,93.27%,4.42%
TELANGANA,1.91%,20.16%,77.94%,86.90%,9.66%,3.44%,45.33%,35.91%,18.76%,13.47%,24.23%,62.30%,0.56%,99.44%,1.03%,92.53%,6.44%
TRIPURA,0.04%,48.14%,51.82%,25.31%,73.96%,0.73%,0.07%,93.69%,6.25%,45.88%,34.00%,20.12%,0.99%,99.01%,84.21%,15.72%,0.07%
UTTAR PRADESH,0.13%,1.86%,98.01%,15.30%,61.69%,23.02%,10.66%,80.15%,9.19%,1.45%,11.80%,86.76%,1.30%,98.70%,0.09%,98.58%,1.33%
UTTARAKHAND,0.23%,9.65%,90.12%,37.60%,43.16%,19.24%,23.07%,54.56%,22.37%,53.52%,26.18%,20.30%,7.83%,92.17%,3.51%,96.40%,0.09%
WEST BENGAL,1.81%,53.30%,44.89%,73.24%,19.87%,6.88%,32.50%,53.51%,13.99%,33.04%,41.40%,25.56%,4.68%,95.32%,26.75%,73.17%,0.08%
ANDAMAN & NICOBAR,97.59%,2.41%,98.09%,1.91%,6.89%,93.11%,99.99%,0.01%,92.46%,7.54%,99.16%,0.84%,,,,,
ANDHRA PRADESH,94.23%,5.77%,73.77%,26.23%,86.21%,13.79%,70.44%,29.56%,61.55%,38.45%,87.32%,12.68%,,,,,
ARUNACHAL PRADESH,94.99%,5.01%,76.07%,23.93%,75.95%,24.05%,87.46%,12.54%,90.56%,9.44%,82.77%,17.23%,,,,,
ASSAM,93.18%,6.82%,17.16%,82.84%,91.21%,8.79%,99.41%,0.59%,72.83%,27.17%,84.33%,15.67%,,,,,
BIHAR,98.53%,1.47%,59.99%,40.01%,77.79%,22.21%,93.64%,6.36%,77.04%,22.96%,95.44%,4.56%,,,,,
CHHATTISGARH,97.07%,2.93%,78.20%,21.80%,64.73%,35.27%,90.41%,9.59%,51.44%,48.56%,98.25%,1.75%,,,,,
DELHI,96.43%,3.57%,96.55%,3.45%,14.81%,85.19%,34.48%,65.52%,92.59%,7.41%,42.86%,57.14%,,,,,
GOA,96.79%,3.21%,63.79%,36.21%,29.01%,70.99%,96.51%,3.49%,67.46%,32.54%,89.44%,10.56%,,,,,
