Membership Type,Number,Organization Name,Address,State
ACTIVE MEMBERS,1,Asian Fertilizers Limited 8 DCM Shriram Limited,"P.W.D. Officers Colony, (Unit : Shriram Fertilizers & Chemicals), Near Rastriya Sahara Press, Park Road, 2nd Floor, (West Wing), World Mark 1, Aerocity, Gorakhpur New Delhi - 110 037, Uttar Pradesh - 273 001",Uttar Pradesh
ACTIVE MEMBERS,2,BEC Fertilizers 9 DMCC Speciality Chemicals Limited,"(Unit of Bhillai Engg. Corp.Ltd.) Prospect Chambers, Sector A, Sirgetti Industrial Area, Sirgetti, 317/21, Dadabhoy Naoroji Road, Bilaspur 495 004 Mumbai 400 001, Chattisgarh Maharashtra",Maharashtra
ACTIVE MEMBERS,3,Bharat Agri Fert. & Realty Limited 10 Greenstar Fertilizers Limited,"301, 3rd Floor, Hubtown Solaries, SPIC House, N.S. Phadke Marg, Near East West Flyover, Andheri No. 88, Mount Road, Guindy, (East) Chennai 600 032, Mumbai Tamil Nadu, Maharashtra - 400 069",Tamil Nadu
ACTIVE MEMBERS,4,Brahmaputra Valley Fertilizer Corporation Limited 11 Gujarat Narmada Valley Fertilizers & Chemicals,"Regd. Office Namrup P.O. Narmada Nagar, P.O. Parbatpur District Bharuch 392 015, District Dibrugarh 786 623 Gujarat, Assam",Gujarat
ACTIVE MEMBERS,5,Chambal Fertilizers and Chemicals Limited 12 Gujarat State Fertilizers & Chemicals Limited,"Corporate One, First Floor, P.O. Fertilizernagar, 5, Commercial Center, Jasola District Vadodara 391 750, New Delhi - 110 025 Gujarat",Gujarat
ACTIVE MEMBERS,6,Coimbatore Pioneer Fertilizers Private Limited 13 Hindalco Industries Limited,"P.O.Muthugoundanpudur (Unit : Birla Copper), Via Sulur 3rd Floor, Aries House, Near Hotel Siddharth Palace, District Coimbatore 641 006 Old Padra Road, Tamil Nadu Baroda 390 015, Gujarat",Tamil Nadu
ACTIVE MEMBERS,7,Coromandel International Limited 14 Hindustan Urvarak & Rasayan Limited,"1-2-10, Sardar Patel Road Core - 4, 9th Floor, Scope Minar, Post Box No. 1589 Laxmi Nagar Districr Centre, Secunderabad 500 003 New Delhi - 110 092, Telangana",Telangana
ACTIVE MEMBERS,15,Indian Farmers Fertiliser Cooperative Limited 22 Krishak Bharati Cooperative Limited,"IFFCO Sadan A8-10, Sector-1, C-1, District Centre, Saket Place, District Gautam Budh Nagar, New Delhi - 110 017 Noida 201 301, Uttar Pradesh",Uttar Pradesh
ACTIVE MEMBERS,16,Indian Potash Limited 23 Krishna Phoschem Limited,"Potash Bhawan, 5-O-20, Basement Office, 10-B, Rajendra Park, Pusa Road, R.C. Vyas Colony, New Delhi - 110 060 Bhilwara 311 001, Rajasthan",Rajasthan
ACTIVE MEMBERS,17,Indorama India Private Limited 24 Madhya Bharat Agro Products Limited,"Ecocentre, EM-4, 12th Floor, 5-0-1, Basement Office, Unit No. ECSL-1201, Sector V, Salt Lake, R.C. Vyas Colony, Kolkata 700 091 Bhilwara 311 001, West Bengal Rajasthan",West Bengal
